Invoice ID,Branch,City,Customer type,Gender,Número da Fatura,Filial,Cidade,Tipo de Cliente,Gênero,Linha de Produto,Preço Unitário,Quantidade,Imposto 5%,Total,Data,Hora,Pagamento,COGS,Percentual de Margem Bruta,Renda Bruta,Classificação,,,
21,371-85-5789,B,Brasília,Normal,Masculino,Saúde e beleza,87,98,3,13,197,277,137,3/5/2019,10:40,Carteira digital,263,94,4,761904762,13,197,5,1
22,273-16-6619,B,Brasília,Normal,Masculino,Casa e estilo de vida,33,2,2,3,32,69,72,3/15/2019,12:20,Cartão de crédito,66,4,4,761904762,3,32,4,4
23,636-48-8204,A,São Paulo,Normal,Masculino,Acessórios eletrônicos,34,56,5,8,64,181,44,2/17/2019,11:15,Carteira digital,172,8,4,761904762,8,64,9,9
24,549-59-1358,A,São Paulo,Membro,Masculino,Esportes e viagens,88,63,3,13,2945,279,1845,3/2/2019,17:36,Carteira digital,265,89,4,761904762,13,2945,6,0
25,227-03-5010,A,São Paulo,Membro,Feminino,Casa e estilo de vida,52,59,8,21,36,441,756,3/22/2019,19:20,Cartão de crédito,420,72,4,761904762,21,36,8,5
26,649-29-6775,B,Brasília,Normal,Masculino,Moda e acessórios,33,52,1,1,676,35,196,2/8/2019,15:31,Dinheiro,33,52,4,761904762,1,676,6,7
27,189-17-4241,A,São Paulo,Normal,Feminino,Moda e acessórios,87,67,2,8,767,184,107,3/10/2019,12:17,Cartão de crédito,175,34,4,761904762,8,767,7,7
28,145-94-9061,B,Brasília,Normal,Feminino,Alimentos e bebidas,88,36,5,22,9,463,89,1/25/2019,19:48,Dinheiro,441,8,4,761904762,22,9,9,6
29,848-62-7243,A,São Paulo,Normal,Masculino,Saúde e beleza,24,89,9,11,2005,235,2105,3/15/2019,15:36,Dinheiro,224,1,4,761904762,11,2005,7,4
30,871-79-8483,B,Brasília,Normal,Masculino,Moda e acessórios,94,13,5,23,5325,494,1825,2/25/2019,19:39,Cartão de crédito,470,65,4,761904762,23,5325,4,8
31,149-71-6266,B,Brasília,Membro,Masculino,Esportes e viagens,78,7,9,35,1315,737,7615,1/28/2019,12:43,Dinheiro,702,63,4,761904762,35,1315,4,5
32,640-49-2076,B,Brasília,Normal,Masculino,Esportes e viagens,83,78,8,33,512,703,752,1/10/2019,14:49,Dinheiro,670,24,4,761904762,33,512,5,1
33,595-11-5460,A,São Paulo,Normal,Masculino,Saúde e beleza,96,58,2,9,658,202,818,3/15/2019,10:12,Cartão de crédito,193,16,4,761904762,9,658,5,1
34,183-56-6882,C,Rio de Janeiro,Membro,Feminino,Alimentos e bebidas,99,42,4,19,884,417,564,2/6/2019,10:42,Carteira digital,397,68,4,761904762,19,884,7,5
35,232-16-2483,C,Rio de Janeiro,Membro,Feminino,Esportes e viagens,68,12,1,3,406,71,526,1/7/2019,12:28,Carteira digital,68,12,4,761904762,3,406,6,8
36,129-29-8530,A,São Paulo,Membro,Masculino,Esportes e viagens,62,62,5,15,655,328,755,3/10/2019,19:15,Carteira digital,313,1,4,761904762,15,655,7,0
37,272-65-1806,A,São Paulo,Normal,Feminino,Acessórios eletrônicos,60,88,9,27,396,575,316,1/15/2019,17:17,Carteira digital,547,92,4,761904762,27,396,4,7
38,333-73-7901,C,Rio de Janeiro,Normal,Feminino,Saúde e beleza,54,92,8,21,968,461,328,3/23/2019,13:24,Carteira digital,439,36,4,761904762,21,968,7,6
39,777-82-7220,B,Brasília,Membro,Masculino,Casa e estilo de vida,30,12,8,12,48,253,8,3/3/2019,13:01,Dinheiro,240,96,4,761904762,12,48,7,7
40,280-35-5823,B,Brasília,Membro,Feminino,Casa e estilo de vida,86,72,1,4,336,91,56,1/17/2019,18:45,Carteira digital,86,72,4,761904762,4,336,7,9
41,554-53-8700,C,Rio de Janeiro,Membro,Masculino,Casa e estilo de vida,56,11,2,5,611,117,831,2/2/2019,10:11,Dinheiro,112,22,4,761904762,5,611,6,3
42,354-25-5821,B,Brasília,Membro,Feminino,Esportes e viagens,69,12,6,20,736,435,456,2/8/2019,13:03,Dinheiro,414,72,4,761904762,20,736,5,6
43,228-96-1411,C,Rio de Janeiro,Membro,Feminino,Alimentos e bebidas,98,7,8,39,48,829,8,3/4/2019,20:39,Dinheiro,789,6,4,761904762,39,48,7,6
44,617-15-4209,C,Rio de Janeiro,Membro,Masculino,Saúde e beleza,15,37,2,1,537,32,277,3/16/2019,19:47,Dinheiro,30,74,4,761904762,1,537,7,2
45,132-32-9879,B,Brasília,Membro,Feminino,Acessórios eletrônicos,93,96,4,18,792,394,632,3/9/2019,18:00,Dinheiro,375,84,4,761904762,18,792,9,5
46,370-41-7321,B,Brasília,Membro,Masculino,Saúde e beleza,56,69,9,25,5105,535,7205,2/27/2019,17:24,Cartão de crédito,510,21,4,761904762,25,5105,8,4
47,727-46-3608,B,Brasília,Membro,Feminino,Alimentos e bebidas,20,1,9,9,45,189,945,2/6/2019,15:47,Carteira digital,180,9,4,761904762,9,45,4,1
48,669-54-1719,B,Brasília,Membro,Masculino,Acessórios eletrônicos,18,93,6,5,679,119,259,2/10/2019,12:45,Cartão de crédito,113,58,4,761904762,5,679,8,1
